Stand,Year/Age,Species,TreeNo,Live/Dead,TreeStat,CrwnClass,DBH,Height,CRadius1,CRatio1,TPA,X,Y
SouthernPine,2000,PITA,100,0,1,1,12,60,7.5,0.45,1,190.67,42.36
SouthernPine,2000,PITA,101,0,1,1,12,60,7.5,0.45,1,206.6,18.56
SouthernPine,2000,PITA,102,0,1,1,12,60,7.5,0.45,1,22.53,0.22
SouthernPine,2000,PITA,103,0,1,1,12,60,7.5,0.45,1,137.71,24.78
SouthernPine,2000,PITA,104,0,1,1,12,60,7.5,0.45,1,28.52,170.53
SouthernPine,2000,PITA,105,0,1,1,12,60,7.5,0.45,1,162.97,70.49
SouthernPine,2000,PITA,106,0,1,1,12,60,7.5,0.45,1,208.47,199.84
SouthernPine,2000,PITA,107,0,1,1,12,60,7.5,0.45,1,97.62,41.52
SouthernPine,2000,PITA,108,0,1,1,12,60,7.5,0.45,1,184,30.61
SouthernPine,2000,PITA,109,0,1,1,12,60,7.5,0.45,1,127.37,180.28
SouthernPine,2000,PITA,110,0,1,1,12,60,7.5,0.45,1,184.75,88.01
SouthernPine,2000,PITA,111,0,1,1,12,60,7.5,0.45,1,38.36,40.41
SouthernPine,2000,PITA,112,0,1,1,12,60,7.5,0.45,1,199.72,51.14
SouthernPine,2000,PITA,113,0,1,1,12,60,7.5,0.45,1,177.29,10.54
SouthernPine,2000,PITA,114,0,1,1,12,60,7.5,0.45,1,19.88,193.21
SouthernPine,2000,PITA,201,0,1,1,13,65,8.13,0.45,1,157.05,164.09
SouthernPine,2000,PITA,202,0,1,1,13,65,8.13,0.45,1,172.03,47.9
SouthernPine,2000,PITA,203,0,1,1,13,65,8.13,0.45,1,131.4,0.46
SouthernPine,2000,PITA,204,0,1,1,13,65,8.13,0.45,1,178.85,64.16
SouthernPine,2000,PITA,205,0,1,1,13,65,8.13,0.45,1,24.94,125.95
SouthernPine,2000,PITA,206,0,1,1,13,65,8.13,0.45,1,17.06,167.64
SouthernPine,2000,PITA,207,0,1,1,13,65,8.13,0.45,1,73.76,2.68
SouthernPine,2000,PITA,208,0,1,1,13,65,8.13,0.45,1,160,52.4
SouthernPine,2000,PITA,209,0,1,1,13,65,8.13,0.45,1,160.27,153.81
SouthernPine,2000,PITA,210,0,1,1,13,65,8.13,0.45,1,204.71,154.04
SouthernPine,2000,PITA,211,0,1,1,13,65,8.13,0.45,1,39.29,17.3
SouthernPine,2000,PITA,212,0,1,1,13,65,8.13,0.45,1,67.89,158.84
SouthernPine,2000,PITA,213,0,1,1,13,65,8.13,0.45,1,36,46.27
SouthernPine,2000,PITA,214,0,1,1,13,65,8.13,0.45,1,185.83,81.76
SouthernPine,2000,PITA,215,0,1,1,13,65,8.13,0.45,1,118.61,87.03
SouthernPine,2000,PITA,301,0,1,1,14,70,8.75,0.45,1,88.99,138.66
SouthernPine,2000,PITA,302,0,1,1,14,70,8.75,0.45,1,72.06,116.36
SouthernPine,2000,PITA,303,0,1,1,14,70,8.75,0.45,1,174.74,41.83
SouthernPine,2000,PITA,304,0,1,1,14,70,8.75,0.45,1,143.49,192.31
SouthernPine,2000,PITA,305,0,1,1,14,70,8.75,0.45,1,177.11,25.55
SouthernPine,2000,PITA,306,0,1,1,14,70,8.75,0.45,1,62.54,38.14
SouthernPine,2000,PITA,307,0,1,1,14,70,8.75,0.45,1,205.53,36.8
SouthernPine,2000,PITA,308,0,1,1,14,70,8.75,0.45,1,1.39,146.47
SouthernPine,2000,PITA,309,0,1,1,14,70,8.75,0.45,1,158.28,26.85
SouthernPine,2000,PITA,310,0,1,1,14,70,8.75,0.45,1,119.34,0.12
SouthernPine,2000,PITA,311,0,1,1,14,70,8.75,0.45,1,27.22,85.63
SouthernPine,2000,PITA,312,0,1,1,14,70,8.75,0.45,1,159.75,120
SouthernPine,2000,PITA,313,0,1,1,14,70,8.75,0.45,1,45.29,209.03
SouthernPine,2000,PITA,314,0,1,1,14,70,8.75,0.45,1,147.96,181
SouthernPine,2000,PITA,315,0,1,1,14,70,8.75,0.45,1,47.47,118.78
SouthernPine,2000,PITA,401,0,1,1,15,75,9.38,0.45,1,93.17,116.27
SouthernPine,2000,PITA,402,0,1,1,15,75,9.38,0.45,1,142.58,183.08
SouthernPine,2000,PITA,403,0,1,1,15,75,9.38,0.45,1,162.02,15.63
SouthernPine,2000,PITA,404,0,1,1,15,75,9.38,0.45,1,179.14,83.1
SouthernPine,2000,PITA,405,0,1,1,15,75,9.38,0.45,1,65.94,76.42
SouthernPine,2000,PITA,406,0,1,1,15,75,9.38,0.45,1,102.51,48.22
SouthernPine,2000,PITA,407,0,1,1,15,75,9.38,0.45,1,178.42,187.33
SouthernPine,2000,PITA,408,0,1,1,15,75,9.38,0.45,1,154.85,46.71
SouthernPine,2000,PITA,409,0,1,1,15,75,9.38,0.45,1,188.34,193.86
SouthernPine,2000,PITA,410,0,1,1,15,75,9.38,0.45,1,78.78,77.34
SouthernPine,2000,PITA,411,0,1,1,15,75,9.38,0.45,1,112.46,6.43
SouthernPine,2000,PITA,412,0,1,1,15,75,9.38,0.45,1,51.31,94.06
SouthernPine,2000,PITA,413,0,1,1,15,75,9.38,0.45,1,102.08,180.35
SouthernPine,2000,PITA,414,0,1,1,15,75,9.38,0.45,1,202.14,192.72
SouthernPine,2000,PITA,415,0,1,1,15,75,9.38,0.45,1,92.46,31.73
SouthernPine,2000,PITA,501,0,1,1,16,80,10,0.45,1,184.41,11.46
SouthernPine,2000,PITA,502,0,1,1,16,80,10,0.45,1,133.72,209.66
SouthernPine,2000,PITA,503,0,1,1,16,80,10,0.45,1,56.15,70.89
