Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
16,45,1,1,89,65,1259,1200,1392,3.76,-12.19,12.76,162.84,-3,0.0001102,0.0000338,1
16,45,2,1,71,60,1146,1112,1296,2.04,-11.61,11.79,170.06,-4,0.0001049,0.0000183,2
16,45,3,1,74,64,1036,1054,1215,-0.8,-10.93,10.96,184.19,-1,0.0000987,-0.0000072,3
16,45,4,1,106,71,1003,1052,1194,-2.31,-10.48,10.73,192.42,-3,0.0000946,-0.0000207,4
16,45,5,1,90,66,1192,1352,1384,-9.96,-8.37,13.01,229.95,-4,0.0000756,-0.0000893,5
16,45,6,1,91,70,1055,1240,1214,-10.73,-4.46,11.62,247.43,-1,0.0000403,-0.0000963,6
16,45,7,1,73,67,896,1077,1077,-8.69,-5.16,10.1,239.31,-4,0.0000466,-0.000078,7
16,45,8,3,34,34,1153,1348,1308,-12.05,-3.96,12.69,251.79,-5,0.0000358,-0.0001082,8
16,45,9,1,77,67,798,969,986,-7.38,-5.34,9.1,234.11,-2,0.0000482,-0.0000662,9
16,45,10,3,50,47,716,870,912,-6,-5.7,8.28,226.47,0,0.0000515,-0.0000538,10
16,45,11,1,79,67,681,816,882,-4.9,-6.14,7.85,218.59,-1,0.0000555,-0.000044,11
16,45,12,1,64,66,574,680,774,-3.2,-5.86,6.68,208.64,0,0.0000529,-0.0000287,12
16,45,13,1,63,59,657,698,842,-1.27,-7.14,7.25,190.09,-2,0.0000645,-0.0000114,13
16,45,14,1,102,70,714,719,882,-0.01,-7.61,7.61,180.08,-3,0.0000688,-0.0000001,14
16,45,15,1,78,65,809,766,951,1.81,-8.15,8.35,167.51,-4,0.0000736,0.0000162,15
16,45,16,1,64,59,991,830,1021,7.38,-5.85,9.42,128.41,-3,0.0000529,0.0000662,16
16,45,17,1,139,69,750,611,811,4.81,-5.21,7.09,137.29,-1,0.0000471,0.0000432,17
16,45,18,1,46,35,602,481,684,3.34,-4.8,5.84,145.17,-2,0.0000433,0.00003,18
16,45,19,1,72,64,469,393,586,1.75,-4.39,4.73,158.31,-3,0.0000397,0.0000157,19
16,45,20,1,54,56,342,344,502,0.08,-3.86,3.86,178.81,-1,0.0000349,0.0000007,20
16,45,21,1,84,65,294,436,494,-2.46,-3.11,3.96,218.34,-3,0.0000281,-0.000022,21
16,45,22,1,103,66,479,671,644,-5.4,-2.29,5.86,247.02,-2,0.0000207,-0.0000484,22
16,45,23,2,46,25,430,631,569,-5.29,-1.02,5.39,259.09,-1,0.0000092,-0.0000475,23
16,45,24,1,46,45,827,1029,949,-9.26,-0.94,9.31,264.23,-5,0.0000085,-0.0000831,24
16,45,25,1,60,54,1230,1407,1222,-10.92,6.72,12.82,301.61,1,0.0000607,-0.000098,25
16,45,26,1,82,65,1106,1269,1093,-9.65,6.25,11.5,302.93,-1,0.0000565,-0.0000866,26
16,45,27,1,96,61,990,1151,963,-8.26,6.08,10.25,306.36,-1,0.0000549,-0.0000741,27
16,45,28,1,91,62,439,409,244,0.49,3.5,3.54,7.95,-4,0.0000316,0.0000044,28
16,45,29,1,53,46,450,352,258,1.91,2.86,3.44,33.64,-4,0.0000259,0.0000171,29
16,45,30,1,84,61,662,484,515,5,2.15,5.44,66.73,-2,0.0000194,0.0000448,30
16,45,31,1,79,57,865,671,743,7.39,1.47,7.53,78.75,-1,0.0000133,0.0000663,31
16,45,32,1,89,67,1292,1091,1198,11.87,0.02,11.87,89.9,-4,0.0000002,0.0001065,32
16,45,33,1,21,16,1331,1130,1238,12.34,-0.16,12.34,90.74,-6,0.0000014,0.0001108,33
16,45,34,1,105,62,1470,1268,1378,13.64,-0.26,13.64,91.09,-4,0.0000023,0.0001224,34
16,45,35,1,63,55,1470,1275,1332,13.1,3.48,13.56,75.14,-3,0.0000314,0.0001176,35
16,45,36,1,86,62,1372,1183,1232,12.01,3.68,12.56,72.96,1,0.0000332,0.0001078,36
16,45,37,1,56,45,1281,1095,1134,10.98,3.95,11.68,70.2,-3,0.0000357,0.0000986,37
16,45,38,1,56,50,1205,1023,1052,10.07,4.19,10.91,67.38,-3,0.0000379,0.0000903,38
16,45,39,1,80,56,980,819,804,7.06,4.92,8.61,55.11,-3,0.0000445,0.0000634,39
16,45,40,1,53,49,800,694,599,3.79,5.81,6.93,33.12,-2,0.0000525,0.000034,40
16,45,41,1,32,30,775,693,573,2.91,6.12,6.78,25.43,0,0.0000553,0.0000261,41
16,45,42,1,56,54,756,702,556,1.83,6.41,6.67,15.93,-1,0.0000579,0.0000164,42
16,45,43,1,42,51,755,729,564,0.88,6.73,6.79,7.45,0,0.0000608,0.0000079,43
16,45,44,1,55,48,764,762,581,-0.03,6.99,6.99,359.75,-2,0.0000631,-0.0000003,44
16,45,45,1,100,64,814,835,645,-0.99,7.5,7.56,352.48,-1,0.0000678,-0.0000089,45
16,45,46,1,66,48,840,885,689,-2.01,7.74,8,345.43,-5,0.0000699,-0.0000181,46
16,45,47,1,92,61,908,981,778,-3.46,8.09,8.8,336.84,0,0.0000731,-0.0000311,47
16,45,48,1,88,61,1331,1424,1217,-6.22,11.61,13.18,331.82,-3,0.0001049,-0.0000558,48
16,45,49,1,64,50,1101,1096,917,0.15,10.34,10.34,0.83,-1,0.0000934,0.0000013,49
16,45,50,1,24,25,1154,1034,959,6.57,8.2,10.51,38.71,-3,0.0000741,0.000059,50
16,45,51,1,112,62,1238,1099,1046,7.85,7.97,11.19,44.57,-1,0.000072,0.0000704,51
16,45,52,1,63,46,1404,1341,1206,4.18,12.45,13.13,18.56,-4,0.0001125,0.0000375,52
16,45,53,1,38,37,1397,1348,1196,3.14,12.74,13.12,13.84,-2,0.0001151,0.0000282,53
16,45,54,1,35,39,1386,1350,1192,2.34,12.87,13.08,10.29,-3,0.0001163,0.000021,54
